编号,应用名称,页面链接,版本,下载链接,文件大小,应用类型,开发者,更新时间,可执行文件
98,360安全浏览器,http://app.loongapps.cn/#/detail/98,13.3.1013.59-1,http://113.24.212.22:8090/upload/file/browser360-cn-stable_13.3.1013.59-1_loongarch64.deb,102.2 MB,网络应用,奇虎360,2024-06-11T10:47:19,/usr/bin/browser360-cn-stable
140,小画家,http://app.loongapps.cn/#/detail/140,18.04.0,http://113.24.212.22:8090/upload/file/kolourpaint_18.04.0-edu3_loongarch64.deb,5.7 MB,教育学习,Martin Koller,2024-04-24T16:57:34,kolourpaint
146,龙吟翻译,http://app.loongapps.cn/#/detail/146,1.0.2,http://113.24.212.22:8090/upload/file/interpreter-depend_1.0.2_loongarch64.deb,2.9MB,办公应用,云顶书院,2024-04-10T17:37:25,/usr/local/longyin/interpreter
200,极域课堂互动教学系统软件（国产OS版）教师端,http://app.loongapps.cn/#/detail/200,2.7.3605-1.0.101+10751gch2024,http://113.24.212.22:8090/upload/file/mythware-cms-teacher_2.7.3605-1.0.101+10751gch2024_loongarch64.deb,43.7 MB,教育学习,南京极域信息科技有限公司,2024-03-18T09:14:01,/opt/mythware/classroom-management/Teacher
201,极域课堂互动教学系统软件（国产OS版）学生端,http://app.loongapps.cn/#/detail/201,2.7.3605-1.0.101+10751gch2024,http://113.24.212.22:8090/upload/file/mythware-cms-student_2.7.3605-1.0.101+10751gch2024_loongarch64.deb,41.7 MB,办公应用,南京极域信息科技有限公司,2024-03-18T09:14:22,/opt/mythware/classroom-management/Student
220,软件包安装器,http://app.loongapps.cn/#/detail/220,1.0.0-2,http://113.24.212.22:8090/upload/file/appinstaller_1.0.0-2_loongarch64.deb,93.6 KB,其他应用,龙芯中科（山西）技术有限公司,2024-04-29T17:10:30,/opt/apps/appinstaller/apps/AppInstall
222,龙芯应用合作社(3A5000)版,http://app.loongapps.cn/#/detail/222,2.0.0-1.lnd.13,http://113.24.212.22:8090/upload/file/loongsonapplication_2.0.0-1.lnd.13_loongarch64.deb,88.1MB,"其他应用,办公应用",龙芯中科（山西）技术有限公司,2024-06-07T16:33:21,
636,华宇拼音输入法,http://app.loongapps.cn/#/detail/636,2.4.8.207,http://113.24.212.22:8090/upload/file/HuayuPY_loongarch_fcitx_2.4.8.207.deb,58.6 MB,办公应用,北京华宇信息技术有限公司,2024-02-27T16:58:00,/usr/share/fcitx-huayupy/huayupy_daemon_fcitx_starter
1053,腾讯会议,http://app.loongapps.cn/#/detail/1053,3.19.1.401,http://113.24.212.22:8090/upload/file/TencentMeeting_0300000000_3.19.1.401_loongarch64_default.publish.deb,138.0 MB,办公应用,深圳市腾讯计算机系统有限公司,2024-05-14T15:14:27,/opt/wemeet/wemeetapp.sh
1104,WPS Office,http://app.loongapps.cn/#/detail/1104,11.1.0.11719,http://113.24.212.22:8090/upload/file/wps-office_11.1.0.11719_loongarch64.deb,378.6MB,办公应用,北京金山办公软件股份有限公司,2024-02-27T17:07:40,/usr/bin/wps
1113,泰山Office,http://app.loongapps.cn/#/detail/1113,5.0.0.352,http://113.24.212.22:8090/upload/file/cn.ts-it.office_5.0.0.352_loongarch64_trial.deb,365.6MB,办公应用,泰山信息科技有限公司,2024-02-27T16:43:00,/opt/apps/cn.ts-it.office/files/ts-office %F
1114,万得,http://app.loongapps.cn/#/detail/1114,24.1.7.05090,http://113.24.212.22:8090/upload/file/com.wind.wft-kylinV10SP1_24.1.7.05090_loongarch64.deb,272.4 MB,办公应用,上海万得信息技术股份有限公司,2024-06-04T11:15:06,"""/opt/apps/com.wind.wft/files/bin/wmain.sh"""
1392,龙芯剪辑,http://app.loongapps.cn/#/detail/1392,1.0.0-1.lnd.1,http://113.24.212.22:8090/upload/file/loongvideoeditor_1.0.0-1.lnd.1_loongarch64.deb,35.5 MB,视频播放,龙芯中科（山西）技术有限公司,2024-06-07T16:29:16,/opt/apps/loongvideoeditor/start.sh
1410,QQ for Linux,http://app.loongapps.cn/#/detail/1410,3.2.7-23361,http://113.24.212.22:8090/upload/file/QQ_3.2.7_240428_loongarch64_01.deb,135.7 MB,"办公应用,社交沟通",深圳市腾讯计算机系统有限公司,2024-05-16T11:01:37,/opt/QQ/qq
1943,浩辰CAD 2024,http://app.loongapps.cn/#/detail/1943,24.1,http://113.24.212.22:8090/upload/file/gstarcad_24.1_loongarch64.deb,275.3 MB,"教育学习,办公应用",苏州浩辰软件股份有限公司,2024-02-28T09:21:04,/opt/apps/gstarcad/v2024/files/gclauncher.sh
1944,天影视通提词器,http://app.loongapps.cn/#/detail/1944,2.4.0,http://113.24.212.22:8090/upload/file/TYST-Teleprompter_2.4.0_0305loongarch64.deb,87.0 MB,"图像图形,视频播放",北京天影视通科技有限公司,2024-03-28T14:27:34,/opt/TYST-Teleprompter/tyst-teleprompter
1946,和信融慧流程自动化机器人单机版软件,http://app.loongapps.cn/#/detail/1946,4.0.1.4,http://113.24.212.22:8090/upload/file/com.homonia.standalone_4.0.1.4_loongarch64_20240314_143959.deb,488.6 MB,办公应用,北京和信融慧信息科技有限公司,2024-03-14T16:32:54,/opt/apps/com.homonia.standalone/files/bin/designer
1947,flash player播放器,http://app.loongapps.cn/#/detail/1947,32.0.0,http://113.24.212.22:8090/upload/file/flashplayer-32_Loongarch64.deb,4.8 MB,"教育学习,视频播放",重庆重橙网络科技有限公司,2024-04-10T18:02:53,/opt/durapps/FlashPlayer/flashplayer
